Metric,Value,Details
Unique Companies,6,
Top Email Domain #1,corp.com,8 employees
Top Email Domain #2,yahoo.com,8 employees
Top Email Domain #3,gmail.com,5 employees
Top Email Domain #4,company.com,4 employees
Top Email Domain #5,only 4 email domains found,
Employees per Company,Alpha Ltd,2 employees
Employees per Company,Beta Corp,3 employees
Employees per Company,Delta LLC,6 employees
Employees per Company,Gamma Inc,3 employees
Employees per Company,Internal,8 employees
Employees per Company,Omega Group,3 employees
